"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~4세","2023년_남_5~9세","2023년_남_10~14세","2023년_남_15~19세","2023년_남_20~24세","2023년_남_25~29세","2023년_남_30~34세","2023년_남_35~39세","2023년_남_40~44세","2023년_남_45~49세","2023년_남_50~54세","2023년_남_55~59세","2023년_남_60~64세","2023년_남_65~69세","2023년_남_70~74세","2023년_남_75~79세","2023년_남_80~84세","2023년_남_85~89세","2023년_남_90~94세","2023년_남_95~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~4세","2023년_여_5~9세","2023년_여_10~14세","2023년_여_15~19세","2023년_여_20~24세","2023년_여_25~29세","2023년_여_30~34세","2023년_여_35~39세","2023년_여_40~44세","2023년_여_45~49세","2023년_여_50~54세","2023년_여_55~59세","2023년_여_60~64세","2023년_여_65~69세","2023년_여_70~74세","2023년_여_75~79세","2023년_여_80~84세","2023년_여_85~89세","2023년_여_90~94세","2023년_여_95~99세","2023년_여_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","213,014","300,548","355,014","378,197","555,058","800,753","777,975","649,430","737,027","683,046","793,687","701,870","706,835","609,103","417,048","321,421","228,831","110,383","36,809","8,537","1,448","4,540,031","4,540,031","109,615","153,833","182,333","193,013","260,394","382,835","390,093","323,822","365,462","337,539","391,756","343,004","338,627","284,228","191,108","142,967","97,049","39,975","10,239","1,820","319","4,846,003","4,846,003","103,399","146,715","172,681","185,184","294,664","417,918","387,882","325,608","371,565","345,507","401,931","358,866","368,208","324,875","225,940","178,454","131,782","70,408","26,570","6,717","1,129"
"서울특별시 종로구 (1111000000)","139,417","139,417","2,342","3,577","4,540","5,199","9,113","12,383","10,882","8,440","9,783","9,411","12,414","11,501","11,332","9,357","6,218","5,285","4,328","2,316","760","201","35","67,306","67,306","1,203","1,786","2,225","2,551","4,125","6,049","5,508","4,140","4,767","4,524","6,151","5,703","5,717","4,648","2,922","2,289","1,802","872","260","55","9","72,111","72,111","1,139","1,791","2,315","2,648","4,988","6,334","5,374","4,300","5,016","4,887","6,263","5,798","5,615","4,709","3,296","2,996","2,526","1,444","500","146","26"
"서울특별시 중구 (1114000000)","121,312","121,312","2,687","2,943","2,898","3,258","6,727","10,810","11,558","9,306","9,104","7,665","9,725","9,343","9,763","8,570","5,766","4,725","3,669","1,892","704","172","27","58,659","58,659","1,378","1,501","1,479","1,611","3,067","4,912","5,739","4,693","4,618","3,926","4,804","4,725","4,914","4,223","2,710","2,025","1,488","613","183","45","5","62,653","62,653","1,309","1,442","1,419","1,647","3,660","5,898","5,819","4,613","4,486","3,739","4,921","4,618","4,849","4,347","3,056","2,700","2,181","1,279","521","127","22"
"서울특별시 용산구 (1117000000)","213,151","213,151","5,068","6,021","6,394","7,226","11,634","18,469","20,723","16,687","16,789","14,499","18,203","16,114","16,085","13,241","8,650","6,972","5,633","3,272","1,150","265","56","102,312","102,312","2,604","3,056","3,288","3,641","5,247","8,602","10,305","8,310","8,403","7,067","8,816","7,949","7,899","6,395","3,950","2,930","2,274","1,135","362","67","12","110,839","110,839","2,464","2,965","3,106","3,585","6,387","9,867","10,418","8,377","8,386","7,432","9,387","8,165","8,186","6,846","4,700","4,042","3,359","2,137","788","198","44"
"서울특별시 성동구 (1120000000)","277,361","277,361","7,856","9,037","8,340","9,511","17,016","23,963","23,946","21,718","22,162","18,764","23,174","21,275","21,339","17,239","11,350","9,057","6,892","3,425","1,036","217","44","134,519","134,519","4,089","4,601","4,192","4,732","8,001","11,820","11,662","10,695","11,243","9,282","11,307","10,563","10,594","8,289","5,246","3,880","2,795","1,181","282","51","14","142,842","142,842","3,767","4,436","4,148","4,779","9,015","12,143","12,284","11,023","10,919","9,482","11,867","10,712","10,745","8,950","6,104","5,177","4,097","2,244","754","166","30"
"서울특별시 광진구 (1121500000)","335,554","335,554","6,290","8,918","11,253","12,551","22,861","35,988","31,547","23,396","24,921","23,182","27,592","25,564","25,030","20,506","13,282","10,289","7,362","3,566","1,135","278","43","161,277","161,277","3,182","4,606","5,755","6,247","10,468","16,829","15,846","11,577","12,133","11,440","13,360","12,484","12,093","9,672","6,130","4,610","3,157","1,285","324","66","13","174,277","174,277","3,108","4,312","5,498","6,304","12,393","19,159","15,701","11,819","12,788","11,742","14,232","13,080","12,937","10,834","7,152","5,679","4,205","2,281","811","212","30"
"서울특별시 동대문구 (1123000000)","341,149","341,149","7,940","10,362","10,801","11,806","25,711","31,161","26,698","22,764","25,776","22,919","27,412","25,128","25,881","22,675","15,631","12,717","9,556","4,524","1,347","283","57","167,346","167,346","4,016","5,282","5,587","5,901","11,368","15,637","13,778","11,694","13,218","11,850","13,796","12,717","12,771","10,867","7,262","5,495","3,990","1,664","384","58","11","173,803","173,803","3,924","5,080","5,214","5,905","14,343","15,524","12,920","11,070","12,558","11,069","13,616","12,411","13,110","11,808","8,369","7,222","5,566","2,860","963","225","46"
"서울특별시 중랑구 (1126000000)","382,155","382,155","8,519","10,595","11,541","12,419","19,480","30,562","31,756","26,061","28,233","24,906","31,984","32,746","34,562","28,756","18,909","14,360","10,256","4,624","1,462","371","53","187,372","187,372","4,291","5,447","5,939","6,330","9,242","14,752","16,018","13,454","14,807","12,885","15,963","15,971","16,829","13,814","8,834","6,359","4,284","1,712","363","70","8","194,783","194,783","4,228","5,148","5,602","6,089","10,238","15,810","15,738","12,607","13,426","12,021","16,021","16,775","17,733","14,942","10,075","8,001","5,972","2,912","1,099","301","45"
"서울특별시 성북구 (1129000000)","425,602","425,602","9,796","14,301","16,497","18,505","31,557","33,136","29,275","26,838","32,296","31,140","38,592","32,357","31,080","26,920","18,518","15,112","11,803","5,608","1,773","439","59","204,171","204,171","5,049","7,319","8,394","9,397","14,178","16,247","14,862","13,237","16,009","15,178","19,005","15,943","14,767","12,468","8,286","6,343","4,862","2,012","515","85","15","221,431","221,431","4,747","6,982","8,103","9,108","17,379","16,889","14,413","13,601","16,287","15,962","19,587","16,414","16,313","14,452","10,232","8,769","6,941","3,596","1,258","354","44"
"서울특별시 강북구 (1130500000)","288,113","288,113","4,546","7,029","9,012","10,129","16,825","21,330","19,048","15,949","19,890","20,012","25,817","24,448","25,605","22,251","16,211","13,549","10,260","4,551","1,309","295","47","139,514","139,514","2,329","3,620","4,689","5,067","7,673","10,553","10,007","8,424","10,438","10,155","12,919","11,940","12,211","10,371","7,094","5,656","4,182","1,731","379","63","13","148,599","148,599","2,217","3,409","4,323","5,062","9,152","10,777","9,041","7,525","9,452","9,857","12,898","12,508","13,394","11,880","9,117","7,893","6,078","2,820","930","232","34"
