"year","temperature"
1954,11.4333333333333
1955,11.4666666666667
1956,10.0833333333333
1957,10.4416666666667
1958,11.5666666666667
1959,12.0416666666667
1960,12.0833333333333
1961,12.3833333333333
1962,11.7
1963,11.25
1964,12.175
1965,11.35
1966,11.5166666666667
1967,11.6166666666667
1968,11.75
1969,10.85
1970,11.375
1971,11.4916666666667
1972,11.875
1973,12.0333333333333
1974,11.0833333333333
1975,12.4666666666667
1976,11.45
1977,12.2916666666667
1978,12.3583333333333
1979,12.45
1980,10.7916666666667
1981,11.1583333333333
1982,12.5
1983,12.3916666666667
1984,11.55
1985,11.55
1986,11.2333333333333
1987,11.9333333333333
1988,12.0833333333333
1989,12.9583333333333
1990,12.7916666666667
1991,12.325
1992,12.4666666666667
1993,12.0333333333333
1994,13.5416666666667
1995,12.1916666666667
1996,12.2166666666667
1997,12.8916666666667
1998,13.7833333333333
1999,13.2083333333333
2000,12.675
2001,12.8
2002,12.8583333333333
2003,12.825
2004,13.3166666666667
2005,12.075
2006,12.9833333333333
2007,13.25
2008,12.9083333333333
2009,12.9
2010,12.0916666666667
2011,12.0333333333333
2012,12.2166666666667
2013,12.4916666666667
2014,13.35
2015,13.5583333333333
2016,13.5583333333333
2017,13
2018,12.9333333333333
2019,13.525
2020,13.2333333333333
2021,13.7
2022,13.2333333333333
2023,14.05
