temperature,precipitation,year,month
-1.5,14.0,1954,01
0.4,111.3,1954,02
3.1,4.9,1954,03
11.8,59.4,1954,04
16.6,61.5,1954,05
19.6,229.9,1954,06
21.9,537.5,1954,07
25.7,209.0,1954,08
20.3,53.2,1954,09
12.5,45.1,1954,10
9.5,19.6,1954,11
-2.7,40.4,1954,12
-5.6,12.3,1955,01
-0.1,9.6,1955,02
4.4,15.7,1955,03
11.1,55.0,1955,04
15.9,80.7,1955,05
21.4,316.5,1955,06
24.5,397.5,1955,07
26.2,60.0,1955,08
20.7,187.9,1955,09
12.6,26.7,1955,10
5.9,56.2,1955,11
0.6,12.6,1955,12
-3.9,6.3,1956,01
-3.4,26.6,1956,02
3.7,139.3,1956,03
9.5,65.9,1956,04
15.1,72.4,1956,05
19.7,417.5,1956,06
24.3,523.8,1956,07
24.8,47.2,1956,08
20.4,346.0,1956,09
12.8,29.7,1956,10
3.2,16.1,1956,11
-5.2,10.3,1956,12
-3.5,43.1,1957,01
-4.3,14.7,1957,02
0.0,16.7,1957,03
10.4,105.9,1957,04
16.9,60.5,1957,05
20.1,32.7,1957,06
22.4,474.8,1957,07
24.1,286.5,1957,08
18.9,4.5,1957,09
12.5,83.6,1957,10
8.3,20.5,1957,11
-0.5,76.8,1957,12
-6.0,55.0,1958,01
-0.8,7.7,1958,02
3.7,25.6,1958,03
10.8,142.3,1958,04
16.3,23.8,1958,05
22.2,39.3,1958,06
25.6,383.8,1958,07
23.8,193.9,1958,08
19.8,243.1,1958,09
12.7,120.1,1958,10
6.7,49.6,1958,11
4.0,41.2,1958,12
-5.1,3.9,1959,01
2.4,58.0,1959,02
6.0,163.6,1959,03
10.2,114.7,1959,04
17.9,91.2,1959,05
20.4,70.8,1959,06
24.4,323.1,1959,07
25.8,283.0,1959,08
20.8,142.9,1959,09
14.8,57.6,1959,10
5.8,27.9,1959,11
1.1,34.1,1959,12
-3.3,4.6,1960,01
1.7,4.0,1960,02
6.7,113.6,1960,03
10.6,19.0,1960,04
16.5,135.4,1960,05
20.6,296.9,1960,06
24.8,313.2,1960,07
26.2,138.1,1960,08
20.8,63.5,1960,09
15.1,7.9,1960,10
7.1,76.5,1960,11
-1.8,15.7,1960,12
-5.2,18.0,1961,01
-0.9,8.8,1961,02
5.4,40.8,1961,03
11.7,102.2,1961,04
17.3,123.6,1961,05
21.9,77.7,1961,06
26.2,267.8,1961,07
26.8,360.6,1961,08
21.5,295.1,1961,09
15.6,48.6,1961,10
8.9,57.8,1961,11
-0.6,35.6,1961,12
-3.4,1.2,1962,01
-0.7,25.7,1962,02
3.2,18.5,1962,03
10.0,91.6,1962,04
17.6,12.5,1962,05
21.1,110.3,1962,06
26.1,180.0,1962,07
25.1,193.2,1962,08
20.3,236.4,1962,09
13.6,36.8,1962,10
6.4,52.2,1962,11
1.1,27.8,1962,12
-9.1,13.3,1963,01
-2.4,2.6,1963,02
5.5,57.3,1963,03
11.4,221.1,1963,04
16.9,186.7,1963,05
21.2,383.7,1963,06
24.5,513.6,1963,07
25.7,126.5,1963,08
20.5,50.1,1963,09
13.5,32.1,1963,10
6.5,26.8,1963,11
0.8,12.8,1963,12
-0.1,20.3,1964,01
-3.5,27.1,1964,02
3.8,37.3,1964,03
14.1,338.8,1964,04
18.6,83.3,1964,05
21.6,112.5,1964,06
24.7,504.5,1964,07
26.3,220.3,1964,08
20.3,378.9,1964,09
13.8,40.6,1964,10
6.3,25.2,1964,11
0.2,5.2,1964,12
-4.2,19.1,1965,01
-1.2,2.4,1965,02
2.7,16.8,1965,03
10.3,10.4,1965,04
17.3,11.6,1965,05
22.1,23.8,1965,06
24.1,631.6,1965,07
24.4,319.4,1965,08
20.9,27.0,1965,09
14.8,63.7,1965,10
7.0,85.0,1965,11
-2.0,5.5,1965,12
-4.6,9.7,1966,01
0.1,29.4,1966,02
4.8,90.5,1966,03
11.8,35.7,1966,04
18.3,37.1,1966,05
20.5,179.8,1966,06
23.6,897.7,1966,07
26.7,272.8,1966,08
19.7,302.8,1966,09
14.4,74.9,1966,10
5.9,81.6,1966,11
-3.0,6.9,1966,12
-4.4,24.7,1967,01
-2.4,54.6,1967,02
4.8,88.2,1967,03
11.8,93.3,1967,04
19.3,59.6,1967,05
21.3,135.3,1967,06
25.5,283.8,1967,07
26.7,261.8,1967,08
20.7,158.1,1967,09
14.5,26.5,1967,10
6.5,53.3,1967,11
-4.9,9.6,1967,12
-4.0,11.3,1968,01
-4.4,12.5,1968,02
4.4,56.1,1968,03
12.6,45.2,1968,04
17.2,53.4,1968,05
21.0,41.1,1968,06
24.7,412.4,1968,07
24.9,362.8,1968,08
20.9,126.3,1968,09
13.0,101.8,1968,10
7.6,54.2,1968,11
3.1,11.1,1968,12
-3.5,62.2,1969,01
-2.7,59.2,1969,02
2.9,13.7,1969,03
10.6,219.3,1969,04
16.4,255.2,1969,05
20.0,31.8,1969,06
24.0,345.9,1969,07
24.8,455.1,1969,08
20.8,230.0,1969,09
13.9,18.4,1969,10
5.0,28.4,1969,11
-2.0,17.6,1969,12
-4.8,5.9,1970,01
-0.2,49.2,1970,02
0.4,12.7,1970,03
12.2,7.5,1970,04
18.7,84.0,1970,05
20.5,249.8,1970,06
23.0,425.6,1970,07
25.9,195.9,1970,08
21.2,461.2,1970,09
14.9,153.1,1970,10
5.7,42.8,1970,11
-1.0,20.5,1970,12
-2.4,19.3,1971,01
-0.7,26.0,1971,02
2.0,42.2,1971,03
11.2,52.7,1971,04
16.6,121.6,1971,05
21.6,135.8,1971,06
23.9,530.3,1971,07
24.6,223.2,1971,08
20.6,159.8,1971,09
13.0,12.8,1971,10
8.7,19.5,1971,11
-1.2,16.5,1971,12
0.8,62.6,1972,01
-0.6,32.6,1972,02
5.3,76.8,1972,03
11.5,23.4,1972,04
16.4,85.3,1972,05
21.7,28.0,1972,06
25.7,230.8,1972,07
23.1,881.8,1972,08
19.0,133.6,1972,09
13.8,82.6,1972,10
5.2,125.4,1972,11
0.6,6.7,1972,12
